Element 42: (2, (16, 9), ['', '%', '%', 'G'], [(10, 5), (10, 11), (17, 9)], [False, True, True, False], 16, False, [False, False, False, False], 4628, 'West', (15, 9))
Element 43: (2, (15, 9), ['', '%', '', ''], [(10, 6), (9, 11), (17, 9)], [False, True, False, False], 14, False, [False, False, False, False], 4637, 'West', (14, 9))
Element 44: (2, (14, 9), ['', '', '', ''], [(9, 6), (10, 11), (17, 9)], [False, False, False, False], 12, False, [False, False, False, False], 4646, 'South', (14, 8))
Element 45: (2, (14, 8), ['', '', '', '%'], [(9, 7), (11, 11), (17, 9)], [False, False, False, True], 10, False, [False, False, False, False], 4655, 'South', (14, 7))
Element 46: (2, (14, 7), ['', '', '', ''], [(9, 6), (11, 12), (17, 9)], [False, False, False, False], 8, False, [False, False, False, False], 4654, 'East', (15, 7))
Element 47: (2, (15, 7), ['', '', '%', ''], [(9, 5), (10, 12), (17, 9)], [False, False, True, False], 6, False, [False, False, False, False], 4663, 'East', (16, 7))
Element 48: (2, (16, 7), ['', '', '%', ''], [(8, 5), (11, 12), (17, 9)], [False, False, True, False], 4, False, [False, False, False, False], 4672, 'East', (17, 7))
Element 49: (2, (17, 7), ['', '', '%', ''], [(8, 6), (12, 12), (18, 9)], [False, False, True, False], 2, False, [False, False, False, False], 4681, 'East', (18, 7))
Element 50: (2, (18, 7), ['', '%', '%', '%'], [(8, 6), (12, 12), (17, 9)], [False, True, True, True], 0, False, [False, False, False, False], 4680, 'Stop', (18, 7))
Element 51: #0#
